"rules","support","confidence","coverage","lift","count"
"{Extra Salami or Feta,Salad} => {Coffee}",0.00147913365029054,0.875,0.00169043845747491,1.82903599823322,14
"{Pastry,Toast} => {Coffee}",0.00137348124669836,0.866666666666667,0.00158478605388273,1.81161660777385,13
"{Hearty & Seasonal,Sandwich} => {Coffee}",0.00126782884310618,0.857142857142857,0.00147913365029054,1.79170873296315,12
"{Cake,Vegan mincepie} => {Coffee}",0.00105652403592182,0.833333333333333,0.00126782884310618,1.7419390459364,10
"{Salad,Sandwich} => {Coffee}",0.00158478605388273,0.833333333333333,0.00190174326465927,1.7419390459364,15
"{Extra Salami or Feta} => {Coffee}",0.00327522451135763,0.815789473684211,0.00401479133650291,1.70526664496931,31
"{Keeping It Local} => {Coffee}",0.00538827258320127,0.80952380952381,0.00665610142630745,1.69216935890964,51
"{Cookies,Scone} => {Coffee}",0.00158478605388273,0.789473684210526,0.00200739566825145,1.65025804351869,15
"{Juice,Pastry} => {Coffee}",0.00179609086106709,0.772727272727273,0.002324352879028,1.61525256986829,17
"{Cake,Salad} => {Coffee}",0.00105652403592182,0.769230769230769,0.00137348124669836,1.60794373471052,10
"{Juice,Spanish Brunch} => {Coffee}",0.00200739566825145,0.730769230769231,0.00274696249339672,1.52754654797499,19
"{Cake,Toast} => {Coffee}",0.00158478605388273,0.714285714285714,0.00221870047543582,1.49309061080262,15
"{Cake,Sandwich,Tea} => {Coffee}",0.00105652403592182,0.714285714285714,0.00147913365029054,1.49309061080262,10
"{Toast} => {Coffee}",0.0236661384046487,0.70440251572327,0.0335974643423138,1.47243149543303,224
